X-centre values,Y-centre values,Z-slice position,Categories
522.0,309.0,1,1
552.0,314.0,1,14
578.0,314.0,1,1
606.0,315.0,1,1
496.0,320.0,1,14
546.0,327.0,1,13
460.0,335.0,1,14
672.0,338.0,1,1
504.0,344.0,1,14
653.0,350.0,1,14
545.0,350.0,1,1
497.0,354.0,1,1
412.0,368.0,1,1
666.0,368.0,1,1
452.0,370.0,1,1
586.0,380.0,1,1
407.0,380.0,1,14
587.0,395.0,1,14
660.0,395.0,1,1
412.0,406.0,1,14
652.0,415.0,1,1
664.0,416.0,1,1
628.0,418.0,1,1
656.0,428.0,1,1
454.0,429.0,1,14
360.0,435.0,1,124
564.0,436.0,1,1
592.0,438.0,1,1
517.0,441.0,1,1
399.0,442.0,1,1
486.0,444.0,1,14
640.0,444.0,1,1
662.0,446.0,1,1
348.0,448.0,1,1
585.0,454.0,1,1
522.0,456.0,1,12
561.0,458.0,1,12
530.0,457.0,1,1
628.0,461.0,1,1
604.0,464.0,1,1
732.0,464.0,1,14
508.0,468.0,1,124
385.0,468.0,1,14
440.0,469.0,1,14
490.0,467.0,1,1
674.0,468.0,1,12
540.0,471.0,1,1
646.0,472.0,1,14
325.0,474.0,1,124
558.0,472.0,1,1
678.0,482.0,1,1
710.0,482.0,1,12
585.0,488.0,1,1
484.0,492.0,1,14
623.0,491.0,1,1
750.0,491.0,1,12
282.0,492.0,1,14
507.0,495.0,1,1
528.0,494.0,1,1
572.0,500.0,1,124
522.0,506.0,1,14
464.0,508.0,1,14
715.0,511.0,1,1
284.0,516.0,1,124
551.0,526.0,1,124
507.0,530.0,1,1
520.0,540.0,1,14
728.0,542.0,1,124
627.0,543.0,1,124
753.0,546.0,1,1
586.0,546.0,1,1
477.0,548.0,1,14
646.0,548.0,1,14
558.0,549.0,1,1
664.0,552.0,1,124
330.0,557.0,1,14
748.0,564.0,1,14
703.0,567.0,1,1
451.0,569.0,1,1
770.0,579.0,1,1
646.0,584.0,1,12
748.0,588.0,1,14
320.0,594.0,1,1
663.0,598.0,1,1
772.0,598.0,1,1
606.0,614.0,1,14
712.0,613.0,1,14
392.0,624.0,1,1
748.0,623.0,1,14
704.0,625.0,1,14
773.0,631.0,1,12
613.0,634.0,1,1
730.0,639.0,1,124
680.0,642.0,1,124
368.0,642.0,1,1
756.0,646.0,1,124
292.0,676.0,1,124
753.0,688.0,1,14
713.0,686.0,1,1
738.0,688.0,1,1
834.0,694.0,1,12
792.0,694.0,1,1
638.0,699.0,1,14
406.0,704.0,1,1
788.0,709.0,1,1
864.0,719.0,1,1
610.0,726.0,1,1
686.0,726.0,1,1
622.0,735.0,1,1
326.0,734.0,1,1
358.0,737.0,1,12
876.0,739.0,1,12
330.0,749.0,1,1
289.0,743.0,1,1
308.0,748.0,1,1
548.0,753.0,1,12
577.0,753.0,1,14
840.0,761.0,1,1
594.0,760.0,1,1
909.0,766.0,1,1
534.0,766.0,1,1
758.0,781.0,1,1
926.0,776.0,1,1
894.0,784.0,1,1
622.0,789.0,1,1
695.0,805.0,1,1
716.0,806.0,1,1
766.0,808.0,1,1
964.0,809.0,1,1
528.0,818.0,1,12
808.0,822.0,1,14
903.0,817.0,1,14
418.0,820.0,1,12
940.0,817.0,1,1
980.0,820.0,1,12
1002.0,818.0,1,1
299.0,819.0,1,1
686.0,823.0,1,1
646.0,822.0,1,14
720.0,824.0,1,14
561.0,826.0,1,1
605.0,834.0,1,124
672.0,829.0,1,1
784.0,835.0,1,1
970.0,836.0,1,14
492.0,840.0,1,1
1004.0,844.0,1,124
652.0,846.0,1,1
1050.0,850.0,1,12
830.0,850.0,1,1
1079.0,851.0,1,1
806.0,853.0,1,12
1020.0,856.0,1,1
734.0,858.0,1,1
412.0,860.0,1,1
479.0,864.0,1,1
722.0,864.0,1,1
396.0,862.0,1,1
832.0,865.0,1,14
1116.0,866.0,1,1
571.0,868.0,1,14
588.0,871.0,1,1
686.0,872.0,1,1
1433.0,879.0,1,124
662.0,878.0,1,14
828.0,878.0,1,1
1141.0,878.0,1,1
